"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
employment_status,your_demographics,,radio,Employment,"0, Full time employed | 1, Part time employed | 2, Marginally employed (Minijob) | 3, Not employed but studying or in training | 4, Studying and employed | 5, Not employed",,,,,,,y,,,,,
comments,your_demographics,,notes,"Do you have anything else you want to tell us?",,,,,,,,,,,,,
medication,your_lifestyle_and_health,"<div class=""rich-text-field-label""><p>Please tell us about your general lifestyle.</p></div>",yesno,"<div class=""rich-text-field-label""><p>Are you currently taking any medications? <br /><br /><em><span style=""font-weight: normal;"">This includes non-prescription medication such as antihistamines, painkillers, etc.</span></em></p></div>",,,,,,,,y,,,,,
medication_type,your_lifestyle_and_health,,text,"Please specify:",,,,,,,"[medication] = 1",,,,,,
tobacco,your_lifestyle_and_health,,yesno,"<div class=""rich-text-field-label""><p>Do you regularly (once per week or more) smoke cigarettes or other tobacco products?</p></div>",,,,,,,,y,,,,,
drugs,your_lifestyle_and_health,,yesno,"Are you regularly (once a week or more) using recreational drugs?",,,,,,,,y,,,,,
disorder,your_lifestyle_and_health,,yesno,"Are you currently diagnosed with a sleep and/or psychiatric disorder?",,,,,,,,y,,,,,
gen_health,your_lifestyle_and_health,,radio,"<div class=""rich-text-field-label""><p>How is your health in general?</p></div>","0, Excellent | 1, Very good | 2, Good | 3, Fair | 4, Poor | 5, Very poor",,,,,,,y,,,,,
visual_acuity,your_lifestyle_and_health,,radio,"This experiment will require you to wear non-prescription glasses for a week. To ensure this is possible, please select the option that best describes your visual acuity.","1, I do not require prescription glasses and/or contact lenses | 2, I require prescription glasses and/or lenses but I am willing to only wear contact lenses during the experimental week | 3, I require prescription glasses and/or lenses and I will need to wear glasses during the experimental week",,,,,,,y,,,,,
availability,your_lifestyle_and_health,,checkbox,"<div class=""rich-text-field-label""><p>It is important that you will stay in Munich and its surroundings during the experiment (1 week) to keep similar environmental conditions. Please select your availability for one or more of the listed calendar weeks.</p> <p><span style=""font-weight: normal;""><em>Please select one or more options from this list.</em></span></p></div>","1, Calendar week 20 (Mon 13.05 to Mon 20.05) | 2, Calendar week 22 (Mon 27.05 to Mon 03.06) | 3, Calendar week 23 (Mon 03.06 to Mon 10.06) | 4, Calendar week 24 (Mon 10.06 to Mon 17.06) | 5, Calendar week 25 (Mon 17.06 to Mon 24.06) | 6, Calendar week 26 (Mon 24.06 to Mon 01.07) | 7, Calendar week 27 (Mon 01.07 to Mon 08.07) | 8, Calendar week 28 (Mon 08.07 to Mon 15.07) | 9, Calendar week 29 (Mon 15.07 to Mon 22.07) | 10, Calendar week 30 (Mon 22.07 to Mon 29.07) | 11, Calendar week 31 (Mon 29.07 to Mon 05.08)",,,,,,,y,,,,,
