"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
slypos_ase_006,your_sleep_environment_ase,,radio,"Is too cool ","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
slypos_ase_007,your_sleep_environment_ase,,radio,"Is too humid","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
slypos_ase_attentioncheck,your_sleep_environment_ase,,radio,"We want to make sure that you are paying attention. Please select ""Strongly disagree"" here.","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
slypos_ase_008,your_sleep_environment_ase,,radio,"Has an uncomfortable smell","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
slypos_ase_009,your_sleep_environment_ase,,radio,"Has uncomfortable pillows or blankets","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
slypos_ase_010,your_sleep_environment_ase,,radio,"Has a mattress or other sleeping surface that is too firm","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
slypos_ase_011,your_sleep_environment_ase,,radio,"Has a mattress or other sleeping surface that is too soft","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
slypos_ase_012,your_sleep_environment_ase,,radio,"Has a mattress or other sleeping surface that is uncomfortable for another reason","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
slypos_ase_0123,your_sleep_environment_ase,,radio,"Does not feel safe or secure","1, Strongly agree | 2, Agree | 3, Disagree | 4, Strongly disagree",,,,,,,y,,,,,
affective_attitude,light_glasses_acceptability_modified_tfa_acceptabi,,radio,"How comfortable did you feel while wearing the light glasses?","1, Very uncomfortable | 2, Uncomfortable | 3, No opinion | 4, Comfortable | 5, Very comfortable",,,,,,,y,,,,,
burden,light_glasses_acceptability_modified_tfa_acceptabi,,radio,"How much effort did it take to wear and use the light glasses during the 7 days? ","1, No effort at all | 2, A little effort | 3, No opinion | 4, A lot of effort | 5, Huge effort",,,,,,,y,,,,,
ethicality,light_glasses_acceptability_modified_tfa_acceptabi,,radio,"There are moral or ethical consequences to wearing the light glasses","1, Strongly disagree | 2, Disagree | 3, No opinion | 4, Agree | 5, Strongly agree",,,,,,,y,,,,,
perceived_effectiveness,light_glasses_acceptability_modified_tfa_acceptabi,,radio,"Wearing light glasses can measure individuals' light exposure in their daily life ","1, Strongly disagree | 2, Disagree | 3, No opinion | 4, Agree | 5, Strongly agree",,,,,,,y,,,,,
intervention_coherence,light_glasses_acceptability_modified_tfa_acceptabi,,radio,"It is clear to me how wearing the light glasses will help inform my light exposure","1, Strongly disagree | 2, Disagree | 3, No opinion | 4, Agree | 5, Strongly agree",,,,,,,y,,,,,
self_efficacy,light_glasses_acceptability_modified_tfa_acceptabi,,radio,"How confident did you feel while wearing the light glasses?","1, Very unconfident | 2, Unconfident | 3, No opinion | 4, Confident | 5, Very confident",,,,,,,y,,,,,
opportunity_costs,light_glasses_acceptability_modified_tfa_acceptabi,,radio,"Wearing the light glasses interfered with my other priorities","1, Strongly disagree | 2, Disagree | 3, No opinion | 4, Agree | 5, Strongly agree",,,,,,,y,,,,,
general_acceptability,light_glasses_acceptability_modified_tfa_acceptabi,,radio,"How acceptable was wearing the light glasses during the 7 days for you?","1, Completely unacceptable | 2, Unacceptable | 3, No opinion | 4, Acceptable | 5, Completely acceptable",,,,,,,y,,,,,
glasses_use,light_glasses_evaluation,,yesno,"Do you usually use prescription or non-prescription glasses?

Please answer with regard to your daily life, not to the experimental week ",,,,,,,,y,,,,,
general_feeling,light_glasses_evaluation,,notes,"How did you feel about wearing the light glasses throughout the experiment?",,,,,,,,y,,,,,
challenges,light_glasses_evaluation,,notes,"Can you describe any challenges or discomfort you experienced while wearing the light glasses? How did you cope with them?",,,,,,,,y,,,,,
act_impact,light_glasses_evaluation,,notes,"In what situations did you notice the light glasses having the most impact on your daily activities or behavior?",,,,,,,,y,,,,,
beh_adapt,light_glasses_evaluation,,notes,"How did you adapt your behaviour, if at all, because of the light glasses? Please provide some examples.",,,,,,,,y,,,,,
social,light_glasses_evaluation,,notes,"Were there any social situations or interactions where the presence of the light glasses caused curiosity, feedback and/or other reactions?",,,,,,,,y,,,,,
improvements,light_glasses_evaluation,,notes,"Can you share any suggestions or improvements for the design or functionality of the light glasses (comprising the sensor and the glasses) for future experiments?",,,,,,,,y,,,,,
